Model,Replication,Accuracy,F1 Score,ROC AUC,Best Parameters
Logistic Regression,1,0.9825,0.9814,0.9981,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,2,0.9860,0.9860,0.9985,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,3,0.9615,0.9627,0.9957,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,4,0.9755,0.9754,0.9968,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,5,0.9860,0.9856,0.9994,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,6,0.9825,0.9829,0.9964,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,7,0.9650,0.9640,0.9927,"{'C': 1, 'max_iter': 10000}"
Logistic Regression,8,0.9790,0.9811,0.9985,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,9,0.9720,0.9728,0.9950,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,10,0.9825,0.9831,0.9982,"{'C': 10, 'max_iter': 10000}"
